user,Mefistofel,Doj,JKot,the Exile,0nni,OUEO factory,LLITALKER,beisik & gluk,Piroxyline,Adler,_zlos_,CoderInTank
Mefistofel,0,11,7,11,11,7,9,9,6,6,11,4
Doj,11,0,4,6,10,11,1,10,11,10,5,11
JKot,3,7,0,9,7,9,10,8,5,9,10,2
the Exile,8,8,11,0,9,3,11,2,8,4,2,9
0nni,5,3,10,4,0,2,7,7,7,8,8,8
OUEO factory,9,6,2,8,4,0,8,11,4,5,9,6
LLITALKER,6,9,3,3,6,10,0,5,10,2,4,3
beisik & gluk,10,10,6,10,8,8,6,0,9,11,6,10
Piroxyline,2,4,8,5,3,6,4,3,0,7,3,5
Adler,7,5,5,2,5,5,2,6,1,0,7,7
_zlos_,4,1,9,7,1,4,3,4,3,1,0,1
CoderInTank,1,2,1,1,2,1,5,1,2,3,1,0