user,563,CStalker,Crebor,Daimos,Incvisitor,Madware,Mikle,Pathetic Mike,Vinchesoo,Zanty,ant0n,cyberslav,endeavour_pr,hogon2099,kiroff,klip,megapalka,tac,E-Fun_IN,DemiosFantasimo,KirillZinner
563,0,20,17,19,19,11,18,19,3,19,18,19,17,13,17,19,19,20,0,0,0
CStalker,20,0,10,10,17,20,20,20,9,20,20,18,20,18,20,9,17,3,0,0,0
Crebor,8,9,0,7,9,4,10,5,18,8,9,10,7,10,13,14,13,7,0,0,0
Daimos,2,4,9,0,3,9,3,1,15,5,5,13,13,6,3,10,1,16,0,0,0
Incvisitor,11,13,6,2,0,12,7,7,5,4,16,3,16,7,14,7,12,4,0,0,0
Madware,10,8,8,13,13,0,12,15,6,12,6,6,11,5,12,11,11,10,0,0,0
Mikle,17,17,20,11,10,16,0,18,4,17,17,17,3,14,8,17,18,15,0,0,0
Pathetic Mike,18,19,19,17,16,14,19,0,8,18,14,20,19,20,18,16,14,17,0,0,0
Vinchesoo,19,15,14,8,15,18,16,2,0,7,15,12,5,16,16,18,15,8,0,0,0
Zanty,16,5,4,9,18,5,8,12,13,0,7,7,9,4,10,15,6,11,0,0,0
ant0n,5,12,5,16,14,17,13,8,11,6,0,4,8,17,15,12,10,14,0,0,0
cyberslav,13,18,16,12,12,19,17,17,2,13,13,0,14,19,19,20,20,5,0,0,0
endeavour_pr,6,3,7,18,7,8,5,11,14,1,1,9,0,2,7,3,2,12,0,0,0
hogon2099,3,10,13,4,8,6,11,16,16,9,11,5,12,0,5,5,16,6,0,0,0
kiroff,15,16,15,20,20,15,15,10,7,16,19,16,18,11,0,1,8,18,0,0,0
klip,12,6,12,5,6,10,9,9,20,10,8,8,10,9,4,0,9,9,0,0,0
megapalka,9,14,11,6,11,7,6,3,10,15,12,11,6,12,11,4,0,2,0,0,0
tac,14,11,18,14,4,2,14,14,1,14,10,14,4,8,6,13,5,0,0,0,0
E-Fun_IN,7,7,2,15,5,13,4,13,12,11,4,15,15,15,9,8,4,19,0,0,0
DemiosFantasimo,4,1,1,1,1,1,2,6,19,2,3,1,1,3,1,6,3,13,0,0,0
KirillZinner,1,2,3,3,2,3,1,4,17,3,2,2,2,1,2,2,7,1,0,0,0